participant_id,event,reaction_time_ms,isi_delay,timestamp
avb,true_press,294,4992,1742814274.479019
avb,true_press,344,2137,1742814276.968822
avb,true_press,292,2668,1742814279.936183
avb,true_press,302,1595,1742814281.836624
avb,false_press,3475,1742814283.74978
avb,false_press,3475,1742814284.863366
avb,true_press,324,3475,1742814285.637882
avb,true_press,286,2233,1742814288.160098
avb,true_press,309,1559,1742814290.031899
avb,true_press,364,1015,1742814291.417921
avb,true_press,318,3492,1742814295.23162
avb,true_press,326,2023,1742814297.588823
avb,true_press,295,4383,1742814302.267719
avb,true_press,328,2120,1742814304.721161
avb,true_press,318,3548,1742814308.5906692
avb,true_press,376,1022,1742814309.998527
avb,true_press,312,4370,1742814314.684342
avb,true_press,359,4289,1742814319.340491
avb,true_press,3024,4661,1742814327.0356731
